text,kind,source,url
Cash transfers reduce multidimensional poverty: evidence from a randomized trial in Kenya.,science,working paper,
"Cash, not training: a simple idea is rewriting how aid works.",journalism,The Economist,
Germany's minimum wage rose. Employment didn't fall. Something else did.,journalism,Die Zeit,
Heterogeneous labour-market effects of the German minimum wage: a synthetic control approach.,science,journal article,
Why Berlin rents doubled - and who cashed in.,journalism,Tagesspiegel,
Rent-regulation spillovers in segmented housing markets: evidence from the Mietendeckel.,science,IZA discussion paper,
Partisan motivated reasoning attenuates the efficacy of corrective information.,science,political science journal,
Why even the best fact-checks can't change partisan minds.,journalism,Vox,
"Strangers, not friends, are the likeliest to get you your next job.",journalism,The Atlantic,
Weak ties and the diffusion of labour-market opportunities: evidence from a large-scale field experiment.,science,Science,
The causal effect of remote work on productivity: evidence from a Fortune 500 firm.,science,NBER working paper,
Your boss was right. Remote work is slowly hurting your career.,journalism,Bloomberg,
"Hitler's speeches and the rise of the Nazi party, 1927-1933",science,American Political Science Review,
Meta-analysis of the effects of voting advice applications,science,Political Communication,
Do Online Voter Guides Empower Citizens? Evidence from a Field Experiment with Digital Trace Data,science,Public Opinion Quarterly,
How TikTok influenced hundreds of thousands of voters,journalism,Die Zeit,https://www.zeit.de/politik/deutschland/2025-10/soziale-medien-tiktok-wahleinfluss-reichweite-afd-die-linke
Another Benefit to Going to Museums? You May Live Longer,journalism,New York Times,https://www.nytimes.com/2019/12/22/us/arts-health-effects-ucl-study.html
Refugee labor market integration at scale: Evidence from Germany's fast-track employment program,science,PNAS,https://www.pnas.org/doi/10.1073/pnas.2513863123
Why Biden-era clean energy investment policies had limited political returns,science,PNAS,https://www.pnas.org/doi/10.1073/pnas.2526802123
